audio_path,gender,age,client_id,label
es-mx\female_feminine\common_voice_es_34436886.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_33719487.mp3,male_masculine,,,0
es-mx\male_masculine\common_voice_es_33848138.mp3,male_masculine,,,0
es-mx\male_masculine\common_voice_es_21741481.mp3,male_masculine,,,0
es-mx\male_masculine\common_voice_es_33717450.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34042358.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_34304784.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34018333.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_27627582.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34460886.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_34062750.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34524125.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_32230808.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_34133702.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34808909.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_34144702.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_34430535.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34068806.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_33866678.mp3,male_masculine,,,0
es-mx\male_masculine\common_voice_es_33741695.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34135670.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_34327760.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_34073153.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_33753105.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_33827355.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34888462.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_34139059.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34462359.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_33791995.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_33673660.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_22000782.mp3,male_masculine,,,0
es-mx\male_masculine\common_voice_es_19719917.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_33749672.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_21742690.mp3,male_masculine,,,0
es-mx\male_masculine\common_voice_es_33752757.mp3,male_masculine,,,0
es-mx\male_masculine\common_voice_es_33640043.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_33529199.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_34403473.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_33788646.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_33774507.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34206433.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_34791995.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_34034106.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34322017.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_34539734.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_33863739.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_34315462.mp3,male_masculine,,,0
es-mx\female_feminine\common_voice_es_34498295.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_34160102.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_34861413.mp3,female_feminine,,,1
es-mx\female_feminine\common_voice_es_34171889.mp3,female_feminine,,,1
es-mx\male_masculine\common_voice_es_21749228.mp3,male_masculine,,,0
es-mx\male_masculine\common_voice_es_33886796.mp3,male_masculine,,,0
es-mx\male_masculine\common_voice_es_34553746.mp3,male_masculine,,,0
